title,type,description,release_year,duration,genre_id,title_platform
The Incredible Dr. Pol,TV Show,Dr. Pol and his team handle challenging veterinary cases and animal emergencies in central Michigan.,2011,19 Seasons,Animals,Disney Plus
Happier Than Ever: A Love Letter to Los Angeles,Movie,"Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles.""",2021,66 min,Concert,Disney Plus
X-Men: Dark Phoenix,Movie,"When Jean Grey transforms into the Dark Phoenix, the X-Men unite to face their greatest enemy yet.",2019,115 min,"Action-Adventure,",Disney Plus
Alaska Animal Rescue,TV Show,Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.,2019,2 Seasons,Animals,Disney Plus
Dug Days,TV Show,"“Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”",2021,1 Season,"Animation,",Disney Plus
Cruella,Movie,"Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil.",2021,137 min,"Crime,",Disney Plus
Dan in Real Life,Movie,A relationship expert falls in love with his brother's new girlfriend.,2007,99 min,"Comedy,",Disney Plus
Disney Princess Remixed - An Ultimate Princess Celebration,Movie,Celebrate the timeless music of Disney Princess!,2021,22 min,"Family,",Disney Plus
Marvel One-Shot: All Hail the King,Movie,"Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker.",2014,14 min,"Comedy,",Disney Plus
Underdog,Movie,A super-powered beagle tries to save Capital City from a mad scientist.,2007,85 min,"Action-Adventure,",Disney Plus
Dr. K's Exotic Animal ER,TV Show,Dedicated veterinarians treat a colorful array of exotic pets in south Florida.,2014,9 Seasons,Animals,Disney Plus
Gigantosaurus,TV Show,Four dinos explore the mystery of the Gigantosaurus!,2018,2 Seasons,"Action-Adventure,",Disney Plus
Life Below Zero: Next Generation,TV Show,The next generation of Alaskans struggle to survive without modern-day comforts.,2020,2 Seasons,"Action-Adventure,",Disney Plus
Eragon,Movie,"In a mythical time, a teenage boy becomes a dragon rider and embarks on a journey of adventure.",2006,104 min,"Action-Adventure,",Disney Plus
Growing Up Animal,TV Show,Magical stories of baby animals on the journey from womb to the wild.,2021,1 Season,Animals,Disney Plus
Fantastic Four,Movie,Four astronauts develop superpowers and must join forces to protect mankind from doom.,2005,106 min,"Action-Adventure,",Disney Plus
X-Men,Movie,"The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them.",2000,105 min,"Action-Adventure,",Disney Plus
America's Funniest Home Videos: Animal Edition,TV Show,NatGeo meets AMERICA’S FUNNIEST HOME VIDEOS in a hilarious new animal show,2021,1 Season,Reality,Disney Plus
Chicken Squad,TV Show,BAGAWK! Say hello to the Chicken Squad.,2021,1 Season,"Animation,",Disney Plus
Disney Presents Goofy in How to Stay at Home,TV Show,"Goofy’s back in a trio of all-new, hand-drawn animated shorts from Walt Disney Animation Studios.",2021,1 Season,"Animation,",Disney Plus
Gabby Duran And The Unsittables,TV Show,"Meet Gabby Duran, your average alien-babysitting girl.",2018,2 Seasons,"Comedy,",Disney Plus
What If...?,TV Show,“What If…?” flips the script on the MCU by reimagining events from the films in unexpected ways.,2021,1 Season,"Action-Adventure,",Disney Plus
Beverly Hills Chihuahua 2,Movie,"Papi and Chloe, those talking Chihuahuas, are back... with a few surprises.",2011,88 min,"Action-Adventure,",Disney Plus
Beverly Hills Chihuahua 3: Viva La Fiesta!,Movie,"Papi plans a ""Quince"" for the littlest member of his pack.",2012,92 min,"Comedy,",Disney Plus
Killer Shark vs Killer Whale,Movie,Orcas attack white sharks for their livers leaving scientists baffled.,2021,44 min,Animals,Disney Plus
Mrs. Doubtfire,Movie,An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.,1993,126 min,"Comedy,",Disney Plus
Cesar Millan: Better Human Better Dog,TV Show,Renowned Dog Behaviorist Cesar Millan transforms dogs and pet parents.,2021,1 Season,Animals,Disney Plus
Walt Disney Animation Studios: Short Circuit Experimental Films,TV Show,Welcome to Short Circuit - an experimental short film program at Disney Animation.,2020,2 Seasons,"Animation,",Disney Plus
Built for Mars: The Perseverance Rover,Movie,BUILT FOR MARS: THE PERSEVERANCE ROVER follows the birth of the Perseverance rover.,2021,88 min,Documentary,Disney Plus
Garfield,Movie,"Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him.",2004,82 min,"Comedy,",Disney Plus
Chip 'n' Dale: Park Life,TV Show,Two tiny chipmunks have huge adventures while trying to live the good life in a big city park.,2021,1 Season,"Animation,",Disney Plus
Critter Fixers: Country Vets,TV Show,Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.,2020,2 Seasons,Animals,Disney Plus
Disney Junior T.O.T.S.,TV Show,Pip and Freddy are new Junior Fliers at T.O.T.S.!,2018,2 Seasons,"Animation,",Disney Plus
Mickey Mouse Funhouse,TV Show,Mickey Mouse Funhouse is filled with silly adventure!,2021,1 Season,"Animation,",Disney Plus
Minnie's Bow-Toons: Party Palace Pals,TV Show,Minnie and Daisy open a party planning business!,2021,1 Season,"Animation,",Disney Plus
Turning the Tables with Robin Roberts,TV Show,Robin Roberts sits down with iconic Hollywood women for intimate & inspirational conversations.,2021,1 Season,Talk Show,Disney Plus
Ice Age: The Meltdown,Movie,"Manny, Sid, Diego and Scrat join forces with new friends to save the valley from an epic flood.",2006,94 min,"Animation,",Disney Plus
Playing with Sharks,Movie,"""Playing with Sharks"" captures the life of conservationist Valerie Taylor.",2021,91 min,Animals,Disney Plus
Shark vs. Surfer,Movie,Shark vs. Surfer visits shark-infested surf spots to relive the harrowing encounters.,2020,44 min,Animals,Disney Plus
Shark vs. Whale,Movie,Marine biologist Ryan Johnson discovers rare behavior of a whale attacking a great white.,2020,44 min,Animals,Disney Plus
Stuntman,Movie,Stuntman Eddie Braun attempts to complete Evel Knievel's legendary Snake River Canyon rocket jump.,2021,87 min,Documentary,Disney Plus
Walking with Dinosaurs: The Movie,Movie,A young dinosaur named Patchi must find his courage to lead the herd.,2013,88 min,"Action-Adventure,",Disney Plus
What the Shark?,Movie,What the Shark? dives deep into the environments where adaptation is critical to survival.,2020,44 min,Animals,Disney Plus
Behind the Attraction,TV Show,Behind the Attraction takes you on a wild ride behind Disney Parks' most iconic attractions!,2021,1 Season,"Docuseries,",Disney Plus
Disney The Owl House,TV Show,Luz stumbles upon a portal to a magical new world.,2020,2 Seasons,"Action-Adventure,",Disney Plus
Meet Spidey and His Amazing Friends (Shorts),TV Show,Meet the friends that help Spidey save the day!,2021,1 Season,"Action-Adventure,",Disney Plus
Mission Force One,TV Show,Five kids form an elite team to protect the universe!,2017,1 Season,"Action-Adventure,",Disney Plus
Turner & Hooch,TV Show,A Deputy Marshal inherits an unruly dog who helps him solve crimes and investigate a family mystery.,2021,1 Season,"Action-Adventure,",Disney Plus
Most Wanted Sharks,Movie,"In Most Wanted Sharks, Jeremiah Sullivan dives into the stories of shark all-stars.",2020,44 min,Animals,Disney Plus
Secrets of the Bull Shark,Movie,Secrets of the Bull Shark unravels the mystery of some of the most dangerous predators.,2020,44 min,Animals,Disney Plus
Shark Attack Files,TV Show,Learn the truth behind the most dramatic shark attacks of our time.,2021,1 Season,Animals,Disney Plus
Shark Attack Investigation: The Paige Winter Story,Movie,A teen survives facing one of the ocean’s deadliest predators.,2021,44 min,Animals,Disney Plus
Sharkcano,Movie,Dr. Michael Heithaus sets out to reveal the connection between sharks and volcanoes.,2020,44 min,Animals,Disney Plus
We Bought a Zoo,Movie,A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.,2011,125 min,Animals,Disney Plus
World's Biggest Bullshark,Movie,"How one of the largest Bull Sharks ever caught, grew to become a giant.",2021,44 min,Animals,Disney Plus
World's Most Dangerous Shark?,Movie,Are Oceanic White Tips the most dangerous of all the sharks?,2021,44 min,Animals,Disney Plus
So Random!,TV Show,A musical sketch comedy show.,2011,1 Season,"Comedy,",Disney Plus
Flicka,Movie,A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.,2006,95 min,Animals,Disney Plus
"Miraculous World: Shanghai, The Legend of Ladydragon",Movie,Marinette heads to Shanghai to meet Adrien.,2021,54 min,"Animation,",Disney Plus
Orca vs. Great White,Movie,Researchers investigate if orcas are hunting great whites in New Zealand.,2021,44 min,Animals,Disney Plus
Rogue Shark?,Movie,"A vacation hot spot is rocked by a series of shark attacks, chaos reigns.",2021,44 min,Animals,Disney Plus
Shark Beach with Chris Hemsworth,Movie,Chris Hemsworth investigates how we can live harmoniously with sharks.,2021,44 min,Animals,Disney Plus
Shark Gangs,Movie,Scientists investigate why some sharks roam the oceans in gangs.,2021,44 min,Animals,Disney Plus
The Croc That Ate Jaws,Movie,What happens when two of the deadliest predators go head to head?,2021,44 min,Animals,Disney Plus
When Sharks Attack,TV Show,National Geographic investigates shark attacks.,2013,7 Seasons,Reality,Disney Plus
Breaking Bobby Bones,TV Show,Bobby Bones travels to meet local heroes who challenge him to conquer their trades.,2021,1 Season,"Action-Adventure,",Disney Plus
Mickey Mouse Mixed-Up Adventures,TV Show,Hot Dog! Get mixed-up with Mickey and all of his pals!,2019,1 Season,"Animation,",Disney Plus
Monsters at Work,TV Show,"""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester.",2021,1 Season,"Animation,",Disney Plus
"The Good, The Bart, and The Loki",Movie,"Banished from Asgard once again, Loki takes on the Simpsons and Springfield’s mightiest heroes.",2021,6 min,"Animation,",Disney Plus
Disney Raven's Home,TV Show,Raven and Chelsea raise their three children together.,2016,4 Seasons,"Comedy,",Disney Plus
The Sandlot,Movie,A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.,1993,101 min,"Comedy,",Disney Plus
The Sandlot 2,Movie,"10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge.",2005,98 min,"Comedy,",Disney Plus
Adventures in Babysitting,Movie,A seemingly quiet night turns into a wild expedition for a teen babysitter.,1987,102 min,"Action-Adventure,",Disney Plus
Running Wild with Bear Grylls,TV Show,Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.,2019,2 Seasons,"Action-Adventure,",Disney Plus
The Mysterious Benedict Society,TV Show,Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.,2021,1 Season,"Action-Adventure,",Disney Plus
Wolfgang,Movie,Wolfgang Puck persevered after a troubled childhood to become the world’s most famous chef.,2021,80 min,"Biographical,",Disney Plus
Dino Ranch,TV Show,"Join the Cassidy family on their ""prewestoric"" farm!",2021,1 Season,"Animation,",Disney Plus
Disney Just Roll With It,TV Show,This family's fate rests in the hands of the audience!,2018,2 Seasons,"Comedy,",Disney Plus
"Heartland Docs, DVM",TV Show,Heartland vets Ben and Erin Schroeder live and work among farmers in the Midwest.,2019,3 Seasons,Animals,Disney Plus
Luca,Movie,"Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera.",2021,101 min,"Animation,",Disney Plus
Star Wars Vintage: Droids,TV Show,Share the early adventures of R2-D2 and C-3PO in this action-packed animated series!,1985,2 Seasons,"Action-Adventure,",Disney Plus
Puppy Dog Pals,TV Show,Two puppies are on a mission for fun and adventure!,2016,4 Seasons,"Animation,",Disney Plus
Strange Magic,Movie,A tough fairy princess crosses paths with the sinister Bog King.,2015,101 min,"Action-Adventure,",Disney Plus
The Happiest Millionaire,Movie,An immigrant finds a butler position in the home of a millionaire.,1967,170 min,"Biographical,",Disney Plus
The Pacifier,Movie,A Navy SEAL gets his toughest mission yet: Babysitting.,2005,97 min,"Action-Adventure,",Disney Plus
Zenimation,TV Show,"Unplug, relax and refresh your senses with the soundscapes of Disney Animation’s Zenimation.",2020,2 Seasons,"Animation,",Disney Plus
Loki,TV Show,The mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief.,2021,1 Season,"Action-Adventure,",Disney Plus
Gordon Ramsay: Uncharted,TV Show,Gordon Ramsay travels the globe on an epic adventure in search of culinary inspiration.,2018,3 Seasons,"Action-Adventure,",Disney Plus
MUPPET BABIES,TV Show,The Muppet Babies are here to make dreams come true!,2017,3 Seasons,"Animation,",Disney Plus
Raya and the Last Dragon,Movie,"When evil threatens Kumandra, Raya must find the last dragon to save it.",2021,112 min,"Action-Adventure,",Disney Plus
Red Tails,Movie,Black fighter pilots get the chance to prove themselves during WWII.,2012,126 min,"Action-Adventure,",Disney Plus
